SI No.,Name,Notes,Quantity,Price Per Unit,Total,Running Total,Price/Unit(USD),Total (USD),Running Total (USD),Link
1,Keygeek x MZ Y1 Keyboard Switch (Pack of 10),MX-compatible Switches,7,300,2100,2100,3.16,22.11,22.11,http://stackskb.com/store/keygeek-y1-keyboard-switch/
2,PCB (Manufactured by Robu),5 is the min. order quantity,5,1062,5310,7410,11.18,55.89,78.00,../Documents/KiCad/10.0/Keeb/PCB%20Order.png
3,Durock Clear Screw-In Stabilizers V2,Screw-in stabilisers,1,1650,1650,9060,17.37,17.37,95.37,http://stackskb.com/store/durock-clear-screw-in-stabilizers-v2/
4,Gateron Hotswap Sockets,Hotswap Sockets,64,10,640,9700,0.11,6.74,102.11,http://stackskb.com/store/gateron-hotswap-sockets/
5,1N4148 Diodes,"Pack of 100, TH",1,180,180,9880,1.89,1.89,104.00,https://www.flipkart.com/elph-zener-diode-1n4148-pieces-100-electronic-components-hobby-kit/p/itmff7b2uhf4yng4
6,Raspberry Pi Pico,MCU,1,384,384,10264,4.04,4.04,108.04,https://robu.in/product/raspberry-pi-pico/?gad_source=4&gad_campaignid=19974686076&gbraid=0AAAAADvLFWdAl5Wi83k9ojkIRV64IGicN&gclid=Cj0KCQjw2OnUBhC2ARIsACKyfaE3Ny_Zh17xOpxe-m0kUq52dTaldignAKoolyYla7WaLtCoqZ6H4d4aAi2KEALw_wcB
7,Heat Set Threaded Round Female Insert Nut,"M3, pack of 5",2,15,30,10294,0.16,0.32,108.36,https://makerbazar.in/products/brass-heat-set-threaded-round-female-insert-nut?variant=48339035554032
8,Philips Head Nuts & Bolts Set,"M3, pack of 10",1,25,25,10319,0.26,0.26,108.62,https://makerbazar.in/products/philips-head-nuts-bolts-set-silver-plated-pack-of-10?variant=43604554383600
9,Blank White Cherry Profile Keycaps,For later customization,1,1000,1000,11319,10.53,10.53,119.15,https://stackskb.com/store/stackspbt-blank-white-cherry-profile-keycaps-113-key/
10,7u Spacebar,Custom key,1,300,300,11619,3.16,3.16,122.31,https://curiositycaps.in/products/7u-spacebar-replacement-key?srsltid=AfmBOopoxp22bEjsUcpWWLsW55NpsmDEuxnlvxDN_pIq9pAdCd8eAK9L
